#scan;iMeasureCycle=1;iMux=0;time=0.138;N=482;LocalTime=31/10/2023 17:13:19;;;;;;|IDrain|, |IGate| (A);
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2);;;;
-60;-6.28E-10;0.298801;1.000001;2.08E-11;0.298801;;;4.56E-06;;;2.08E-11;6.28E-10
-59.5001;-5.38E-10;0.475993;1;1.49E-11;0.475993;;;3.86E-06;;;1.49E-11;5.38E-10
-59;-4.80E-10;0.652525;1;1.33E-11;0.652525;;;3.65E-06;;;1.33E-11;4.8E-10
-58.5;-4.14E-10;0.846852;0.999999;1.29E-11;0.846852;;;3.59E-06;;;1.29E-11;4.14E-10
-58;-3.75E-10;1.024392;0.999999;7.99E-12;1.024392;;;2.83E-06;;;7.99E-12;3.75E-10
-57.5;-3.63E-10;1.200856;1;8.32E-12;1.200856;;;2.88E-06;;;8.32E-12;3.63E-10
-57;-3.35E-10;1.41129;1;9.07E-12;1.41129;;;3.01E-06;;;9.07E-12;3.35E-10
-56.5;-2.91E-10;1.587884;0.999999;1.78E-12;1.587884;;;1.33E-06;;;1.78E-12;2.91E-10
-56.0001;-2.83E-10;1.764355;0.999999;7.26E-12;1.764355;;;2.69E-06;;;7.26E-12;2.83E-10
-55.5;-2.64E-10;1.940901;1;3.15E-12;1.940901;;;1.77E-06;;;3.15E-12;2.64E-10
-55;-2.73E-10;2.117565;0.999999;6.03E-12;2.117565;;;2.46E-06;;;6.03E-12;2.73E-10
-54.5;-2.60E-10;2.294224;1;5.14E-12;2.294224;;;2.27E-06;;;5.14E-12;2.6E-10
-54.0001;-2.38E-10;2.471177;0.999999;3.67E-12;2.471177;;;1.92E-06;;;3.67E-12;2.38E-10
-53.5;-2.15E-10;2.647718;0.999999;1.45E-12;2.647718;;;1.20E-06;;;1.45E-12;2.15E-10
-53;-2.16E-10;2.824236;0.999999;4.85E-12;2.824236;;;2.20E-06;;;4.85E-12;2.16E-10
-52.5;-2.20E-10;3.009108;1.000001;4.25E-12;3.009108;;;2.06E-06;;;4.25E-12;2.2E-10
-52.0001;-2.10E-10;3.185536;0.999999;5.10E-13;3.185536;;;7.14E-07;;;5.1E-13;2.1E-10
-51.5001;-2.00E-10;3.390804;1;6.05E-12;3.390804;;;2.46E-06;;;6.05E-12;2E-10
-51;-1.98E-10;3.567356;0.999999;4.53E-12;3.567356;;;2.13E-06;;;4.53E-12;1.98E-10
-50.5;-1.88E-10;3.743781;1.000001;7.40E-13;3.743781;;;8.60E-07;;;7.4E-13;1.88E-10
-50;-1.82E-10;3.925198;0.999999;1.78E-12;3.925198;;;1.33E-06;;;1.78E-12;1.82E-10
-49.5;-1.80E-10;4.101796;1;1.99E-12;4.101796;;;1.41E-06;;;1.99E-12;1.8E-10
-49.0001;-1.77E-10;4.278271;0.999999;4.53E-12;4.278271;;;2.13E-06;;;4.53E-12;1.77E-10
-48.5;-1.46E-10;4.456497;1;6.70E-13;4.456497;;;8.19E-07;;;6.7E-13;1.46E-10
-48.0001;-1.54E-10;4.633059;0.999999;2.76E-12;4.633059;;;1.66E-06;;;2.76E-12;1.54E-10
-47.5;-1.62E-10;4.809468;0.999999;3.39E-12;4.809468;;;1.84E-06;;;3.39E-12;1.62E-10
-47;-1.43E-10;4.987875;1;2.50E-12;4.987875;;;1.58E-06;;;2.5E-12;1.43E-10
-46.5001;-1.36E-10;5.164503;0.999999;5.26E-12;5.164503;;;2.29E-06;;;5.26E-12;1.36E-10
-46;-1.48E-10;5.359633;0.999999;5.92E-12;5.359633;;;2.43E-06;;;5.92E-12;1.48E-10
-45.5;-1.41E-10;5.53642;0.999999;1.02E-11;5.53642;;;3.19E-06;;;1.02E-11;1.41E-10
-45.0001;-1.29E-10;5.71282;0.999999;1.29E-11;5.71282;;;3.59E-06;;;1.29E-11;1.29E-10
-44.5;-1.22E-10;5.923081;1.000001;1.95E-11;5.923081;;;4.42E-06;;;1.95E-11;1.22E-10
-44.0001;-1.12E-10;6.099483;0.999999;2.60E-11;6.099483;;;5.10E-06;;;2.6E-11;1.12E-10
-43.5;-1.28E-10;6.275907;1;4.27E-11;6.275907;;;6.53E-06;;;4.27E-11;1.28E-10
-43.0001;-1.18E-10;6.45227;1;5.82E-11;6.45227;;;7.63E-06;;;5.82E-11;1.18E-10
-42.5;-1.14E-10;6.628879;1.000001;9.34E-11;6.628879;;;9.66E-06;;;9.34E-11;1.14E-10
-42.0001;-9.63E-11;6.805305;0.999999;1.33E-10;6.805305;;;1.15E-05;;;1.33E-10;9.63E-11
-41.5001;-9.89E-11;6.982912;1;1.90E-10;6.982912;;;1.38E-05;;;1.9E-10;9.89E-11
-41;-1.08E-10;7.159478;0.999999;2.57E-10;7.159478;;;1.60E-05;;;2.57E-10;1.08E-10
